G_name,RoomID,RoomName,BlogName,HotPoint
英雄联盟,312212,第一男刀：三级不单杀请举报主播，谢谢！,智勋勋勋勋,2305000.0
英雄联盟,288016,LPL春季赛6日重播,英雄联盟赛事,1285000.0
英雄联盟,8967,美服云顶仙女下饭^^,33超甜的,214000.0
英雄联盟,1126960,余小C：不可思议，我是钻2,余小C真的很强,1100000.0
英雄联盟,1300804,新版本新环境，云顶阴阳家冲王者！！！,卷子丶,566000.0
英雄联盟,4915288,余生:版本第一征服者男刀峡谷上分~,Yusheng男刀,64000.0
英雄联盟,475252,新版猴无敌教学,孙悟空丨兰林汉,876000.0
英雄联盟,56040,油条:上单征服者蛇女魔神降世!!!,主播油条,722000.0
英雄联盟,14163,草莓：整几盘绝活上单热热手,草莓,685000.0
英雄联盟,673305,【陪看】英雄联盟经典赛事点播,英雄联盟经典赛事点播,561000.0
英雄联盟,249813,一个人就是一支军队--大发明家,爷大干,374000.0
英雄联盟,8932,诺夏:非主流辅助排位,诺夏辅助,336000.0
英雄联盟,7238770,一个飞机表演绝技噢,你的小谂谂,64000.0
英雄联盟,6488050,老刘诺手：1000Q狗王加强版！,旋转的老刘诺手,327000.0
英雄联盟,7996620,all right 都吃饭了吗 兄弟们,牛奶MilkGod,322000.0
英雄联盟,888388,上单狮子狗冲王者！一级必单杀！,你的大湿兄zZ,306000.0
英雄联盟,718133,认真讲一讲这个版本船长咋玩！！,十月船长丶,251000.0
英雄联盟,321339,花皇：玩会儿游戏 2点健身去,PeanutHulllll,242000.0
英雄联盟,2636,你喜欢玩瞎子的女孩子吗,琦琦7,239000.0
英雄联盟,2561707,川渝野区美猴王上分中,网友张顺飞,209000.0
英雄联盟,7834900,汕希一狗子也是人❤,汕希丶派单四厅,19000.0
英雄联盟,210398,❤峡谷第一电刑烬❤一枪击中哥哥的❤,李冉冉i,208000.0
英雄联盟,729149,【夫妻黑店】进来你就出不去啦！~,冷爷行妹,206000.0
英雄联盟,465054,涵涵：女李青亚索劫掌控雷电,暴走涵涵aa,206000.0
英雄联盟,1237105,峡谷熟练度最高劫冲千分,空大的劫zz,195000.0
英雄联盟,6151888,峡谷千分佐伊！峡谷新号上王者！,自宇666,190000.0
英雄联盟,3883794,卡莎Vn：7年王者全能ad猛男上分攻略,猫咪老师ADKing,173000.0
英雄联盟,734473,湖南黑色玫瑰小姐姐在线送死~~❤,一只小媚媚丶,172000.0
英雄联盟,4715312,今天必上黄金二！！！,熬夜的au,172000.0
英雄联盟,6947924,垄断斗鱼餐饮业的男人来了,撅腚鸭,166000.0
英雄联盟,979426,苏心妍  今天也要开心鸭,爱笑的心妍,165000.0
英雄联盟,1065655,电一钻石排位 1065655,天仙老婆呀,161000.0
英雄联盟,537366,上单终极折磨王，最新不当人玩法！,晴空空空空妹,149000.0
英雄联盟,39300,舟：野王。懂？进！,舟老师丶,149000.0
英雄联盟,158252,千分猛男青钢影上野教学！,花老师青钢影KING,144000.0
英雄联盟,339521,「好吃你就多吃点」❤️,幻想部,139000.0
英雄联盟,609392,❤️有车位 威海妹子 无能咆哮❤️,王艺琳OvO,138000.0
英雄联盟,5319616,黑色玫瑰   有位置(＾ ~,川美人,136000.0
英雄联盟,1679006,【周冠星星】电一呆萌小馒头,馒头超仙女哒,131000.0
英雄联盟,8356669,点击领取你的小呆呆呀,是张呆呆吖,209000.0
英雄联盟,5820055,20分钟900Q狗头 套路狗头1V9！！,Dy丶小然,121000.0
英雄联盟,3921393,可可爱爱 没有脑袋~,啾咪诺,113000.0
英雄联盟,7842507,征服者皎月是猛男必修课程,主播无果,112000.0
英雄联盟,2165132,长得漂亮不如活得漂亮,俏安娜,111000.0
英雄联盟,2719701,斗鱼最秀螳螂，钻石局屠杀,摘星螳螂,108000.0
英雄联盟,4785487,佛系十一：啊，又是新的一天,解说十一,105000.0
英雄联盟,6547556,医学奇迹征服者蛇女1V5教学,汤姆sn,102000.0
英雄联盟,6317186,回放中卡特线上学习,波波卡特0411,99000.0
